design_label,design_size,no_of_instances,no_of_gates,no_of_inputs,no_of_outputs,num_macros,pin_density,congestion_risk_score
95,4397,43433,5330,66,66,4597,0.2207,0.67
96,26657,40928,4294,78,71,6965,0.3332,0.72
97,1095,4090,2214,84,35,15899,0.3969,0.87
98,29587,19173,15199,19,70,11915,0.8477,0.23
99,11634,36963,14138,57,58,9793,0.7574,0.56
100,29227,14649,18455,47,14,1732,0.8189,0.6
101,7729,18359,2871,87,42,16818,0.5083,0.29
102,28474,19890,10523,89,87,13779,0.7758,0.99
103,25951,10079,13736,39,35,3086,0.7974,0.79
104,1116,20416,9812,83,33,10508,0.48,0.32
105,24353,26283,6019,18,29,4702,0.8961,0.36
106,22923,28424,12228,97,36,4495,0.7959,0.72
107,24376,24724,6218,73,21,16823,0.8819,0.01
108,23347,38276,17147,53,49,15189,0.8065,0.46
109,24400,20345,14146,22,53,19352,0.7433,0.34
110,8629,46805,7253,55,91,18547,0.8607,0.85
111,17362,23890,3595,5,22,1192,0.4939,0.79
112,9368,26856,913,31,79,17179,0.7483,0.33
113,21371,2933,16198,68,56,1780,0.349,0.86
114,12285,5385,17859,64,24,4173,0.713,0.91
115,21343,9689,18738,95,66,3280,0.7497,0.55
116,6431,47576,703,93,17,11458,0.7016,0.16
117,8671,14216,8179,45,92,18948,0.7949,0.77
118,25168,7745,493,25,47,18203,0.4893,0.32
119,7308,44886,5156,18,88,8349,0.5813,0.53
120,5376,29250,4486,24,96,13228,0.2075,0.05
121,18546,10989,19291,96,25,18920,0.3022,0.5
122,28560,30386,9522,89,10,9018,0.6509,0.38
123,16548,37645,3089,91,75,8042,0.5936,0.69
124,16316,16094,8341,15,97,10175,0.3381,0.04
125,8106,35603,10328,70,57,8679,0.3704,0.62
126,2668,46479,16335,88,91,9276,0.4409,0.77
127,21947,24762,13994,28,56,17270,0.7015,0.01
128,29924,39236,2787,93,73,4752,0.6268,0.75
129,2127,26739,1657,41,90,691,0.2487,0.13
130,2795,17305,3003,90,13,3224,0.732,0.7
131,26171,33030,12223,28,78,18242,0.3839,0.46
132,15522,7877,5983,19,50,3925,0.6702,0.55
133,5358,28415,11436,16,96,8884,0.2864,0.34
134,22102,47717,15271,99,79,8944,0.8985,0.25
135,6836,27073,4732,68,75,2898,0.2562,0.07
136,491,18416,14903,35,34,16127,0.7192,0.86
137,14086,27404,11334,57,47,3662,0.5789,0.61
138,29190,36403,11204,98,63,7112,0.2602,0.98
139,12766,30622,9097,88,42,9964,0.2188,0.85
140,5992,22440,10388,76,38,2604,0.4539,0.87
141,3661,19930,14373,48,50,1512,0.7616,0.6
142,26954,13503,4975,34,96,6861,0.2288,0.08
143,6284,14616,5833,39,36,12024,0.6931,0.91
144,19583,19191,12393,25,20,560,0.6588,0.12
145,22762,8059,9967,67,43,2206,0.3859,0.52
146,8492,32032,10195,96,5,2969,0.2542,0.86
147,13167,30654,6773,21,61,6682,0.8407,0.47
148,15365,36801,16618,16,91,8974,0.4102,0.17
149,19588,3485,16955,22,24,11192,0.278,0.37
150,23699,33790,17682,96,86,12202,0.6771,0.99
151,29274,10467,13399,64,86,1287,0.3517,1.0
152,2554,46605,1052,71,46,17914,0.5329,0.71
153,11937,33432,6316,19,89,10707,0.2353,0.89
154,14139,19742,11380,20,76,18444,0.8951,0.04
155,25480,10889,15030,26,38,6947,0.5133,0.28
156,19215,35368,7067,99,54,5679,0.8994,0.37
157,11065,21050,8635,67,15,19169,0.47,0.01
158,24638,25663,16061,35,47,11001,0.4435,0.38
159,9862,39749,18051,5,14,15818,0.8402,0.09
160,5156,36504,17094,79,12,627,0.4306,0.52
161,15048,33091,5574,10,76,13419,0.5024,0.0
162,8210,39165,5300,91,23,11738,0.2547,0.27
163,13873,47763,7562,13,69,17252,0.8688,0.87
164,27366,450,369,56,59,7238,0.2596,0.21
165,20324,18412,10466,84,56,14185,0.7398,0.06
166,17512,24227,3650,66,7,1939,0.577,0.25
167,23869,28953,5329,62,57,608,0.243,0.83
168,602,37600,18201,23,48,19367,0.2012,0.59
169,7010,33885,15544,17,52,14044,0.8549,0.59
170,12785,18710,18232,36,58,14493,0.7195,0.0
171,25546,23690,12448,13,20,5999,0.6805,0.47
172,23422,29543,332,53,34,7693,0.507,0.27
173,20972,48097,14080,41,96,16503,0.367,0.34
174,306,7270,15352,35,32,17623,0.6759,0.6
175,21618,13403,5216,35,20,2952,0.6258,0.87
176,22461,6307,7171,63,55,13812,0.7084,0.18
177,24205,12416,14727,59,37,11358,0.4561,0.77
178,23519,35287,16423,23,29,5945,0.8908,0.05
179,17968,6340,4946,67,22,7600,0.2469,0.33
180,24342,1993,16564,6,30,3960,0.2558,0.22
181,16034,13853,1343,49,10,12014,0.8418,0.92
182,17347,38190,7007,47,42,2205,0.6534,0.18
183,19274,11332,16494,5,48,8006,0.4284,0.58
184,23892,17609,18645,89,71,13791,0.7334,0.16
185,8855,3217,9790,65,47,9613,0.5169,0.47
186,21600,37029,12609,7,10,15516,0.2148,0.41
187,12483,48391,10023,95,82,18349,0.6558,0.04
188,22503,4142,6326,48,68,14263,0.3702,0.83
189,18241,37301,8202,11,86,4401,0.2807,0.78
190,14920,26846,8023,37,84,7518,0.3577,0.28
191,7674,14116,15383,13,92,13291,0.5333,0.61
192,6474,25122,87,34,17,14947,0.2349,0.36
193,23376,35526,6040,22,69,4505,0.8182,0.77
194,1778,28038,5488,60,42,7741,0.5919,0.69
195,19726,43778,15785,94,68,17647,0.4051,0.09
196,21120,35812,10906,88,18,10382,0.6809,0.84
197,1159,40078,523,35,21,13491,0.763,0.18
198,23152,8887,108,76,81,9102,0.6297,0.17
199,29955,2086,2686,67,17,9231,0.3417,0.73
200,16298,11042,14884,91,77,12821,0.2772,0.18
201,10014,17558,15627,54,10,2973,0.8019,0.12
202,27990,12261,19048,93,10,17866,0.3643,0.34
203,19641,20789,7346,5,98,390,0.2141,0.84
204,22399,29263,12720,86,41,10619,0.65,0.18
205,10917,35875,9775,23,61,14256,0.307,0.34
206,11021,33837,2724,68,57,1248,0.8937,0.29
207,9889,8872,15846,57,50,4346,0.8088,0.36
208,16412,35692,11115,10,82,16026,0.6259,0.71
209,11352,1311,19554,21,8,13080,0.7837,0.41
210,2793,329,11076,50,38,15512,0.5294,0.76
211,29567,48642,2126,76,70,15560,0.7519,0.64
212,29823,14445,19624,77,67,9533,0.6526,0.36
213,14031,36053,4837,59,65,4984,0.2201,0.43
214,3727,31919,7544,95,85,11881,0.8641,0.7
215,26039,47879,2631,10,46,19521,0.8026,0.53
216,16257,16985,15650,74,82,6123,0.8674,0.87
217,10273,26808,14383,72,68,16889,0.712,0.93
218,21934,148,10454,90,21,5903,0.4884,0.72
219,18147,20050,11216,44,65,3300,0.3449,0.99
220,26205,15273,982,95,34,307,0.326,0.6
221,10330,49638,18097,70,47,16915,0.3014,0.04
222,15807,33837,8798,13,97,4780,0.3544,0.5
223,22076,28136,15627,15,11,11355,0.5854,0.23
224,11594,47421,15065,24,77,17830,0.6786,0.33
225,26913,5920,16158,47,50,5468,0.4198,0.49
226,23876,14392,1154,62,27,5221,0.5841,0.3
227,1406,3152,17704,82,40,10868,0.4389,0.31
228,28705,44477,12986,30,18,6252,0.6876,0.4
229,6876,23881,9651,42,24,14689,0.8919,0.29
230,27351,2402,3696,98,60,6228,0.6823,0.17
231,29744,2383,15010,40,85,17081,0.2413,0.77
232,22348,48253,14928,59,36,13348,0.5341,0.4
233,9574,42667,18488,10,29,1661,0.7393,0.83
234,7626,15720,9195,7,98,13958,0.5796,0.88
235,25385,30561,18276,69,53,3636,0.8657,0.75
236,22059,20850,2852,68,61,6130,0.2383,0.4
237,5630,32990,16415,62,31,12831,0.4038,0.72
238,29420,23283,6155,62,31,17192,0.3545,0.16
239,20897,9572,18994,22,50,14021,0.7373,0.66
240,3848,3827,19471,27,99,17066,0.5667,0.41
241,13645,46600,2799,33,49,379,0.2968,0.66
242,29455,25623,17024,27,30,5496,0.3999,0.75
243,763,30866,17802,40,18,12295,0.5659,0.56
244,2098,37826,10231,74,52,10416,0.8973,0.64
245,8094,624,1411,85,89,17418,0.455,0.21
246,28121,9179,3823,86,96,718,0.3098,0.59
247,28419,8499,13545,99,19,13376,0.5479,0.46
248,17979,27470,2114,10,98,14872,0.4171,0.43
249,3404,16632,18849,38,93,16875,0.5962,0.41
250,20247,16921,19385,48,55,19359,0.5267,0.31
251,21716,43262,5666,48,58,4070,0.6826,0.31
252,18337,3849,8025,31,15,18807,0.84,0.7
253,13908,11453,11010,56,79,3176,0.3404,0.56
254,6685,46877,15374,46,32,2983,0.7748,0.03
255,29335,28577,6293,29,59,19802,0.8645,0.05
256,17775,24670,9610,78,73,3856,0.4615,0.57
257,20065,20937,14734,43,96,15145,0.2796,0.85
258,11749,11537,8380,43,76,8116,0.7753,0.04
259,24038,38204,4973,16,30,11559,0.6908,0.51
260,23764,4651,6517,15,74,8311,0.3489,0.85
261,1736,2923,6126,7,36,12818,0.5117,0.0
262,20180,13016,8051,26,52,4635,0.6046,0.28
263,27675,15267,15353,8,16,5867,0.3189,0.92
264,27828,41545,17749,12,74,166,0.7004,0.08
265,17182,47736,16507,18,81,15666,0.6829,0.61
266,26836,8491,8725,88,65,18247,0.821,0.51
267,28773,12758,12353,92,38,14992,0.5971,0.15
268,4837,29785,17983,18,91,17337,0.602,0.04
269,14655,23480,17793,96,85,8735,0.6336,0.5
270,13977,42531,15178,20,49,3908,0.3916,0.74
271,954,29019,18330,36,64,14188,0.731,0.18
272,24648,2411,6709,68,69,19117,0.6637,0.69
273,5955,40093,5296,80,75,3780,0.7874,0.55
274,7492,44433,7017,20,17,6678,0.738,0.36
275,23012,43138,6711,56,82,12932,0.647,0.66
276,28150,13660,12466,23,85,5493,0.3126,0.19
277,14049,49856,560,73,98,1590,0.8434,0.46
278,21733,48833,8664,16,52,8138,0.457,0.55
279,21656,38653,2482,97,53,8009,0.875,0.46
280,18191,26093,1956,9,95,14514,0.4813,0.4
281,27453,30592,15604,46,62,17059,0.3022,0.74
282,5891,21081,16498,21,93,12621,0.8194,0.66
283,26409,24243,4978,76,77,15456,0.7565,0.64
284,22019,12167,4760,98,74,13549,0.7504,0.89
285,5031,24016,11590,14,65,6212,0.2626,0.99
286,19994,41608,6174,88,30,6847,0.8155,0.57
287,302,46521,7887,20,43,4908,0.6175,0.35
288,11547,3915,15633,20,62,887,0.5292,0.78
289,20702,31936,17234,46,31,2065,0.8392,0.14
290,12788,37577,6159,7,44,15675,0.6662,0.51
291,25442,37375,9959,27,35,7284,0.2931,0.52
292,4489,39443,6709,90,7,4798,0.5637,0.98
293,2427,4873,1288,32,92,113,0.6456,0.99
294,8104,12546,15114,49,19,8271,0.829,0.8
295,19415,30833,5670,72,58,2375,0.3959,0.47
296,7877,10564,1536,28,74,5900,0.756,0.55
297,297,48732,4731,23,15,4422,0.7599,0.32
298,23609,21676,11540,79,34,2929,0.2896,0.83
299,2030,3420,4520,44,39,2238,0.2121,0.75
300,11874,10850,11773,50,47,19215,0.607,0.77
301,15187,37566,13938,44,65,12363,0.7526,0.14
302,22771,26672,7227,66,44,18579,0.5881,0.4
303,25284,18048,13251,22,97,16709,0.7693,0.54
304,27948,38926,5491,16,91,14958,0.6356,0.12
305,9439,23615,18274,18,46,17700,0.6573,0.37
306,20766,27967,11769,86,46,6626,0.2197,0.09
307,11689,826,5447,65,7,4154,0.262,0.96
308,18995,25920,1671,16,94,11185,0.7075,0.75
309,15808,6797,17995,31,82,15254,0.734,0.62
310,26470,44778,17850,10,87,2369,0.5795,0.2
311,17143,42125,4240,92,89,16465,0.6131,0.33
312,2911,13063,5104,37,25,17285,0.6301,0.14
313,23582,49534,1180,84,77,15888,0.2735,0.54
314,14343,1181,14121,54,81,10306,0.6675,0.82
315,6646,20369,11986,16,57,7770,0.5349,0.02
316,26045,10876,2168,99,48,11786,0.6218,0.1
317,2086,31916,713,61,50,1857,0.5942,0.23
318,8438,14296,19068,57,41,12101,0.7341,0.71
319,11511,42212,15785,17,42,6113,0.423,0.89
320,3011,16058,19208,76,92,10440,0.4615,0.75
321,1834,23469,19924,7,42,3612,0.4741,0.52
322,18327,11789,9813,68,15,19632,0.7337,0.11
323,8780,17431,17957,88,97,4554,0.5018,0.75
324,19460,37628,8103,62,49,8035,0.324,0.11
325,18443,13536,17421,8,68,10134,0.8881,0.35
326,5859,166,3895,49,48,12681,0.5454,0.31
327,23178,30825,13546,70,85,16375,0.2765,0.36
328,2485,25312,6351,40,66,14056,0.6692,0.33
329,11211,33432,11935,27,94,19381,0.7174,0.77
330,4836,25501,16532,23,65,4173,0.5502,0.17
331,1902,13493,2338,44,94,11342,0.6525,0.85
332,8255,3770,7846,76,16,12971,0.3209,0.86
333,8220,25701,7313,20,86,11930,0.4575,0.49
334,6716,2351,12827,62,13,5649,0.3133,0.11
335,14357,45817,8820,22,71,121,0.4711,0.58
336,14586,33672,7435,40,78,10399,0.594,0.82
337,22018,27127,14912,28,6,5566,0.5098,0.29
338,20545,31946,8514,5,12,12569,0.6153,0.84
339,28045,21115,4931,5,47,12319,0.5512,0.68
340,16746,9683,16068,68,22,8284,0.4225,0.99
341,14175,23204,15741,66,56,4410,0.3004,0.82
342,22771,12324,9417,40,43,1881,0.3769,0.2
343,25299,38884,463,79,35,16479,0.3405,0.45
344,9308,30936,17984,22,18,7442,0.6952,0.1
345,16471,29399,14764,20,68,18109,0.774,0.07
346,11935,13136,7191,21,97,7318,0.7043,0.71
347,13268,20033,13232,28,48,11594,0.6506,0.91
348,2149,12492,16275,72,64,6431,0.4155,0.97
349,5523,8038,1996,83,6,9511,0.6977,0.27
350,14689,4241,241,6,36,6884,0.6236,0.2
351,28399,23450,16474,99,40,19457,0.2328,0.56
352,21032,9646,14225,77,59,19224,0.8353,0.2
353,19592,5435,10101,14,91,1062,0.256,0.3
354,29955,5177,5942,57,67,14822,0.5519,0.84
355,28766,46115,3499,93,73,19941,0.5591,0.81
356,7258,5711,8377,55,84,4852,0.7859,0.9
357,10348,40957,5959,73,44,18505,0.8391,0.48
358,7500,35760,12443,18,28,7580,0.8578,0.56
359,19654,5677,1991,70,62,10247,0.5988,0.77
360,9974,20102,4271,86,32,2367,0.6753,0.24
361,15251,39551,6593,97,66,18609,0.262,0.82
362,18739,34375,17992,57,29,12880,0.5415,0.02
363,1254,49203,14062,88,11,11371,0.8285,0.8
364,4599,28747,2171,68,42,18806,0.519,0.78
365,6395,34931,17462,76,75,5275,0.2487,0.3
366,22681,34868,11776,53,90,6278,0.3404,0.73
367,27867,31062,5706,94,90,14836,0.5007,0.21
368,26372,48434,9017,66,95,9706,0.3663,0.58
369,12283,29683,19472,41,49,13583,0.4746,0.7
370,29399,1394,15814,53,36,11283,0.4331,0.71
371,12974,15196,15923,72,36,9300,0.4233,0.98
372,18132,36933,11129,37,5,6862,0.2638,0.18
373,5639,46958,18312,26,78,13325,0.8179,0.48
374,9737,27428,2321,74,49,7874,0.6849,0.88
375,20683,24498,1657,37,68,5505,0.6364,0.56
376,28599,17806,19573,32,72,15842,0.6245,0.88
377,24929,22440,15729,92,97,18938,0.4776,0.43
378,15686,18925,17039,8,11,10055,0.7763,0.8
379,27859,17582,3715,70,42,1552,0.851,0.87
380,2657,9418,16358,81,74,7092,0.2039,0.85
381,5692,41356,5902,53,57,11593,0.2554,0.87
382,16582,44109,5512,15,79,19294,0.6725,0.22
383,2300,43285,18578,39,77,15606,0.3652,0.44
384,14272,15674,4320,43,34,1298,0.8382,0.17
385,3061,48170,15747,14,26,5060,0.6672,0.18
386,14307,14750,17810,78,62,6355,0.4578,0.49
387,21457,46218,3512,76,77,2189,0.4907,0.96
388,20917,29030,15524,73,59,13619,0.6836,0.59
389,12069,20271,397,27,50,11039,0.2987,0.85
390,2969,34964,16434,38,30,14010,0.8184,0.94
391,27910,11901,112,36,68,1202,0.2033,0.09
392,28467,22472,1833,20,84,3794,0.8853,0.16
393,17440,16659,8467,72,13,13522,0.3174,0.29
394,14092,32434,6616,58,91,15814,0.7195,0.62
395,28743,40037,17476,32,19,3957,0.2279,0.06
396,24836,13388,10922,64,23,13275,0.502,0.79
397,5799,22498,15368,82,20,11653,0.6412,0.06
398,23428,10794,1284,80,29,19500,0.2492,0.16
399,20977,12291,2034,64,55,9533,0.5103,0.38
400,25976,18151,18028,89,81,2910,0.4122,0.56
401,21395,10837,2002,84,50,213,0.5488,0.88
402,4087,25351,18129,48,11,1764,0.5532,0.96
403,26203,5247,17388,6,38,3512,0.7497,0.88
404,22499,19743,3341,27,62,17874,0.2865,0.11
405,13546,39067,8598,97,82,10337,0.2579,0.63
406,1318,33414,14554,50,27,6277,0.4813,0.44
407,20980,38099,11837,77,27,19094,0.8213,0.13
408,4835,40833,1018,58,21,18124,0.7987,0.56
409,11396,18567,16675,75,17,283,0.592,0.36
410,27411,34908,4284,97,31,1926,0.8221,0.35
411,4655,1852,8388,85,70,9203,0.7637,0.09
412,9246,1949,7399,13,34,19804,0.3946,0.98
413,8150,2742,13418,74,8,15233,0.3191,0.73
414,12857,1700,15251,48,98,6389,0.4108,0.28
415,19930,46819,16120,88,71,13243,0.359,0.92
416,17529,20886,8784,78,18,17479,0.6359,0.95
417,6993,44665,8933,77,15,6141,0.6094,0.81
418,18177,20283,1075,16,44,4531,0.6189,0.66
419,14473,49870,12247,36,91,14362,0.3325,0.38
420,14665,1232,3409,38,7,4509,0.7543,0.43
421,3536,38359,5307,87,5,8083,0.5035,0.46
422,8854,31176,3001,37,13,6467,0.5307,0.95
423,10777,38663,7439,68,77,17841,0.8979,0.76
424,5995,26791,14716,52,80,257,0.3976,0.29
425,19838,43399,15002,20,5,4420,0.4759,0.62
426,16709,11031,18989,54,20,9994,0.6735,0.59
427,15736,7733,14277,27,98,8737,0.8163,0.81
428,21377,37877,17584,30,76,17335,0.2887,0.1
429,7122,34981,15674,58,50,11840,0.7145,0.7
430,9251,1144,1785,48,14,18183,0.8428,0.33
431,5700,46791,17472,41,37,4539,0.496,0.13
432,29224,35299,6419,13,45,9158,0.4007,0.73
433,27743,24463,7177,98,55,6632,0.6744,0.33
434,8096,46794,2962,17,26,15788,0.3723,0.73
435,9107,1682,15514,64,20,8080,0.469,0.16
436,13046,14474,12656,84,87,11643,0.8278,0.99
437,24167,1408,1292,6,79,2244,0.6132,0.8
438,4742,21401,15686,99,66,17393,0.2665,0.29
439,29987,8893,10158,64,57,10399,0.4308,0.74
440,11412,1720,8148,61,79,8635,0.6391,0.14
441,7779,29983,3462,47,18,11874,0.537,0.65
442,8308,37634,18933,23,63,13543,0.6622,0.06
443,23823,38060,11682,15,30,13934,0.733,0.33
444,25919,39490,13281,82,48,4588,0.5364,0.98
445,18689,6193,15233,51,24,4892,0.8909,0.12
446,10816,49352,7210,93,88,15139,0.8403,0.6
447,17553,22359,19979,67,9,18611,0.2419,0.07
448,3544,20755,17647,11,69,18233,0.3865,0.67
449,10857,33105,11173,83,15,7620,0.4104,0.28
450,14534,31729,16852,98,51,8746,0.329,0.31
451,1160,23710,5010,35,14,17153,0.4184,0.34
452,18811,21702,838,92,65,18421,0.4974,0.21
453,3520,20509,18305,59,96,5823,0.2361,0.94
454,401,11210,13400,29,49,15426,0.2891,0.91
455,12568,6173,18459,76,51,2928,0.2674,0.87
456,17090,35410,2496,34,38,8875,0.2324,0.11
457,19654,15382,16233,40,17,12619,0.537,0.23
458,799,10295,8802,54,93,15636,0.4337,0.61
459,21572,1637,19085,18,27,18854,0.8548,0.97
460,25815,17238,13490,33,40,17758,0.2719,0.6
461,290,44428,12146,31,67,17442,0.8482,0.33
462,10592,46302,16973,54,80,10575,0.2606,0.82
463,17464,40264,6549,40,51,11462,0.6335,0.14
464,3075,24307,14817,38,70,16837,0.3734,0.88
465,6202,20719,19723,25,88,11432,0.7788,0.97
466,17668,49792,11387,42,84,12089,0.243,0.97
467,19811,24945,15869,79,18,16148,0.8668,0.15
468,19878,24410,15834,83,57,6822,0.2331,0.55
469,24803,37999,19192,80,70,6640,0.3688,0.58
470,26741,30662,5361,92,53,14697,0.5249,0.19
471,1916,28136,11502,54,20,15727,0.7292,0.55
472,22338,8797,14624,41,72,16554,0.8658,0.65
473,23193,17613,18329,79,47,6510,0.4996,0.33
474,669,43139,16002,23,81,6331,0.7301,0.32
475,5542,3245,2550,5,69,19299,0.709,0.06
476,1995,27918,14768,85,13,3781,0.5998,0.96
477,19217,30644,2879,44,25,14015,0.6836,0.8
478,3963,13200,97,59,86,11818,0.2266,0.76
479,13013,20204,2414,84,88,15154,0.5091,0.02
480,7555,4167,12914,30,47,18848,0.7501,0.62
481,4114,37063,8227,47,70,6685,0.532,0.18
482,11193,30828,13397,63,8,19239,0.8115,0.66
483,18170,32417,7981,55,11,11548,0.7835,0.62
484,3109,31516,19236,19,90,5411,0.8044,0.85
485,24290,42112,12891,12,88,17899,0.291,0.26
486,16638,40149,11894,98,62,10477,0.3709,0.03
487,10829,2609,8644,18,8,16837,0.2207,0.91
488,1509,21500,13468,11,24,6620,0.888,0.91
489,12349,48370,2136,22,39,6396,0.3653,0.46
490,884,6633,10469,16,63,8458,0.457,0.08
491,27851,49933,11652,6,89,15724,0.3924,0.5
492,8196,14770,11232,54,49,16026,0.2279,0.52
493,7660,4032,12885,97,18,19247,0.3829,0.82
494,12633,47463,17583,25,99,14888,0.2687,0.72
495,7443,45909,16496,11,26,13136,0.476,0.07
496,7306,38428,3203,95,52,855,0.8768,0.71
497,22080,36884,9250,16,34,19783,0.6888,0.14
498,5901,23823,10273,88,33,19250,0.6948,0.09
499,19290,819,10323,61,40,7470,0.5172,0.4
500,17021,174,801,82,46,9429,0.7679,0.08
501,6086,26598,8899,78,33,13856,0.8358,0.83
502,18325,31445,17134,27,11,4307,0.8731,0.46
503,29692,20641,16270,34,36,18746,0.2693,0.59
504,10747,46029,10398,62,17,2045,0.8158,0.58
505,8816,35017,17974,99,17,14213,0.3576,0.98
506,23455,26128,19466,56,58,5045,0.4781,0.92
507,22109,29645,6217,60,18,18176,0.4418,0.85
508,19434,14133,6414,14,10,1205,0.6726,0.38
509,24476,31773,2033,23,20,19638,0.6185,0.15
510,12423,31074,14679,23,45,8635,0.2764,0.59
511,4880,23197,16338,91,56,15069,0.748,0.44
512,28791,37075,11323,63,89,14937,0.5078,0.23
513,2468,27708,7698,48,20,7252,0.2016,0.1
514,12139,23625,7944,63,9,11884,0.4902,0.44
515,6755,15143,13355,88,28,4867,0.5614,0.65
516,8273,41946,12975,8,47,18474,0.2482,0.63
517,4595,11825,18748,69,69,18512,0.3058,0.77
518,10993,36804,10377,17,14,2914,0.8955,0.47
